year,participants,costs
1969,2.878,0.2505
1970,4.34,0.5769
1971,9.368,1.5759
1972,11.109,1.8667
1973,12.166,2.2074
1974,12.862,2.8375
1975,17.064,4.6187
1976,18.549,5.6855
1977,17.077,5.461
1978,16.001,5.5197
1979,17.653,6.9398
1980,21.082,9.2065
1981,22.43,11.2252
1982,21.717,10.8367
1983,21.625,11.8471
1984,20.854,11.5788
1985,19.899,11.7032
1986,19.429,11.6384
1987,19.113,11.6042
1988,18.645,12.3168
1989,18.80646342,12.90159
1990,20.04897758,15.44726
1991,22.624627,18.74727
1992,25.40698542,22.46234
1993,26.9867745,23.65297
1994,27.47369633,24.49345
1995,26.61877283,24.62037
1996,25.54253117,24.33099
1997,22.8581365,21.50755
1998,19.7909845,18.98832
1999,18.18253792,17.82092
2000,17.19433433,17.05402
2001,17.31845808,17.78939
2002,19.09563667,20.63702
2003,21.24962583,23.81628
2004,23.810742,27.09903
2005,25.62845608,31.07201
2006,26.54883317,32.90306
2007,26.31604458,33.17352
2008,28.22263025,37.63964
2009,33.4899745,53.61992
2010,40.301878,68.28347
2011,44.70872608,75.68649
2012,46.6090715,78.40968
2013,47.63608983,79.872
2014,46.66361617,74.18213
2015,45.76667167,73.97417
